ground_truth,model_prediction
if impact attenuator is attached by bonding bonding must meet f55 b shear strength of bond must be higher than • 95 kn for foam impact attenuators • 385 kn for honeycomb impact attenuators • maximum compressive force for custom impact attenuators c entire surface of foam impact attenuator must be bonded d only precrushed area of honeycomb impact attenuator may be used for bond equivalence,f853 if impact attenuator is attached by bonding bonding must meet f55 b shear strength of bond must be higher than • 95 kn for foam impact attenuators • 385 kn for honeycomb impact attenuators • maximum compressive force for custom impact attenuators c entire surface of foam impact attenuator must be bonded d only precrushed area of honeycomb impact attenuator may be used for bond equivalence
if impact attenuator is attached by welding welds may be continuous or interrupted b if interrupted weldspace ratio must be 11 or higher c all weld lengths must be more than 25 mm,f854 f854 if impact attenuator is attached by welding welds may be continuous or interrupted b if interrupted weldspace ratio must be 11 or higher c all weld lengths must be more than 25 mm
if impact attenuator is attached by bolting must have no less than eight 8 mm or 516” minimum diameter critical fasteners t82 b distance between any two bolt centers must be 50 mm minimum c each bolt attachment must have pullout tearout and bending capabilities of 15 kn d must be bolted directly to primary structure,f855 f855 if impact attenuator is attached by bolting must have no less than eight 8 mm or 516” minimum diameter critical fasteners t82 b distance between any two bolt centers must be 50 mm minimum c each bolt attachment must have pullout tearout and bending capabilities of 15 kn d must be bolted directly to primary structure
impact attenuator position all impact attenuators must mount with bottom leading edge no more than 220 mm above lowest point on top of lower side impact structure b custom impact attenuator must mount with area of 200 mm or more long and 200 mm or more wide that intersects plane parallel to ground that is no more than 220 mm above lowest point on top of lower side impact structure,f856 f856 impact attenuator position all impact attenuators must mount with bottom leading edge no more than 220 mm above lowest point on top of lower side impact structure b custom impact attenuator must mount with area of 200 mm or more long and 200 mm or more wide that intersects plane parallel to ground that is no more than 220 mm above lowest point on top of lower side impact structure
impact attenuator orientation impact attenuator must be centered laterally on front bulkhead b standard honeycomb must be mounted 200mm width x 100mm height c standard foam may be mounted laterally or vertically,f857 f857 impact attenuator orientation impact attenuator must be centered laterally on front bulkhead b standard honeycomb must be mounted 200mm width x 100mm height c standard foam may be mounted laterally or vertically
only items allowed forward of anti intrusion plate in front view are impact attenuator fastener heads and light bodywork nosecones fasteners should be oriented with nuts rearwards,f861 f861 only items allowed forward of anti intrusion plate in front view are impact attenuator fastener heads and light bodywork nosecones fasteners should be oriented with nuts rearwards
front wing and bodywork attachment front wing and front wing mounts must be able to move completely aft of anti intrusion plate and not touch front bulkhead during frontal impact b attachment points for front wing and bodywork mounts should be aft of anti intrusion plate c tabs for wing and bodywork attachment must not extend more than 25mm forward of anti intrusion plate,f862 f862 front wing and bodywork attachment front wing and front wing mounts must be able to move completely aft of anti intrusion plate and not touch front bulkhead during frontal impact b attachment points for front wing and bodywork mounts should be aft of anti intrusion plate c tabs for wing and bodywork attachment must not extend more than 25mm forward of anti intrusion plate
pedal assembly at full travel and adjustment must have minimum 25 mm clearance to rear face of anti intrusion plate b all front bulkhead structure f61 f72 f843 c all non crushable items inside primary structure non crushable items include but are not limited to batteries master cylinders hydraulic reservoirs,f863 f863 pedal assembly at full travel and adjustment must have minimum 25 mm clearance to rear face of anti intrusion plate b all front bulkhead structure f61 f72 f843 c all non crushable items inside primary structure non crushable items include but are not limited to batteries master cylinders hydraulic reservoirs
combination of impact attenuator assembly and force to crush or detach all other items forward of anti intrusion plate must not exceed peak deceleration specified in f882 ignore light bodywork light nosecones and outboard wheel assemblies,f871 f871 combination of impact attenuator assembly and force to crush or detach all other items forward of anti intrusion plate must not exceed peak deceleration specified in
peak load for type of impact attenuator • standard foam impact attenuator 95 kn • standard honeycomb impact attenuator 60 kn • tested impact attenuator peak as measured,f872 f872 peak load for type of impact attenuator • standard foam impact attenuator 95 kn • standard honeycomb impact attenuator 60 kn • tested impact attenuator peak as measured
use test method f874 or calculation method f875 to prove force requirement,f873 f873 use test method f874 or calculation method f875 to prove force requirement
test method get peak force from physical testing of impact attenuator and any non crushable objects as one of two tested together with impact attenuator b tested with impact attenuator not attached and add peak load from f872,f874 f874 test method get peak force from physical testing of impact attenuator and any non crushable objects as one of two tested together with impact attenuator b tested with impact attenuator not attached and add peak load from f872
calculation method calculate failure load for mounting of non crushable objects from fastener shear tearout andor link buckling b add peak attenuator load from f872,f875 f875 calculation method calculate failure load for mounting of non crushable objects from fastener shear tearout andor link buckling b add peak attenuator load from f872
all teams must include impact attenuator data iad report as part of ses,f881 f881 all teams must include impact attenuator data iad report as part of ses
impact attenuator functional requirements these are not test requirements decelerates vehicle at rate not exceeding 20 g average and 40 g peak b energy absorbed must be more than 7350 j when • total mass of vehicle is 300 kg • impact velocity is 70 ms,f882 f882 impact attenuator functional requirements these are not test requirements decelerates vehicle at rate not exceeding 20 g average and 40 g peak b energy absorbed must be more than 7350 j when • total mass of vehicle is 300 kg • impact velocity is 70 ms
when using standard impact attenuator ses must meet following test data will not be submitted b all other requirements of this section must be included c photos of actual attenuator must be included d evidence that standard ia meets design criteria provided in standard impact attenuator specification must be included with ses this may be receipt or packing slip from supplier,f883 f883 when using standard impact attenuator ses must meet following test data will not be submitted b all other requirements of this section must be included c photos of actual attenuator must be included d evidence that standard ia meets design criteria provided in standard impact attenuator specification must be included with ses this may be receipt or packing slip from supplier
impact attenuator data report when not using standard impact attenuator must include test data that proves that impact attenuator assembly meets functional requirements f882 b calculations showing how reported absorbed energy and decelerations have been derived c schematic of test method d photos of attenuator annotated with height of attenuator before and after testing,f884 f884 impact attenuator data report when not using standard impact attenuator must include test data that proves that impact attenuator assembly meets functional requirements f882 b calculations showing how reported absorbed energy and decelerations have been derived c schematic of test method d photos of attenuator annotated with height of attenuator before and after testing
impact attenuator test is valid for only one competition year,impact attenuator test is valid for only one competition year
impact attenuator test setup during any test impact attenuator must be attached to anti intrusion plate using intended vehicle attachment method b impact attenuator assembly must be attached to structurally representative section of intended chassis test fixture must have equivalent strength and stiffness to baseline front bulkhead solid block of material in shape of front bulkhead is not “structurally representative” c there must be 50 mm minimum clearance rearwards of anti intrusion plate to test fixture d no part of anti intrusion plate may permanently deflect more than 25 mm beyond position of anti intrusion plate before test 25 mm spacing represents front bulkhead support and insures that plate does not intrude excessively into cockpit,f886 f886 impact attenuator test setup during any test impact attenuator must be attached to anti intrusion plate using intended vehicle attachment method b impact attenuator assembly must be attached to structurally representative section of intended chassis test fixture must have equivalent strength and stiffness to baseline front bulkhead solid block of material in shape of front bulkhead is not “structurally representative” c there must be 50 mm minimum clearance rearwards of anti intrusion plate to test fixture d no part of anti intrusion plate may permanently deflect more than 25 mm beyond position of anti intrusion plate before test 25 mm spacing represents front bulkhead support and insures that plate does not intrude excessively into cockpit
test conduct composite impact attenuators must be dynamic tested other impact attenuator constructions may be dynamic tested or quasistatic tested b dynamic testing sled pendulum drop tower etc of impact attenuator must be conducted at dedicated test facility this facility may be part of university but must be supervised by professional staff or university faculty teams must not construct their own dynamic test apparatus c quasistatic testing may be performed by teams using their university’s facilitiesequipment but teams are advised to exercise due care when performing all tests,f887 f887 test conduct composite impact attenuators must be dynamic tested other impact attenuator constructions may be dynamic tested or quasistatic tested b dynamic testing sled pendulum drop tower etc of impact attenuator must be conducted at dedicated test facility this facility may be part of university but must be supervised by professional staff or university faculty teams must not construct their own dynamic test apparatus c quasistatic testing may be performed by teams using their university’s facilitiesequipment but teams are advised to exercise due care when performing all tests
test analysis when using acceleration data from dynamic test average deceleration must be calculated based on raw unfiltered data b if peaks above 40 g limit are present in data channel filter class cfc 60 100hz filter per sae recommended practice j211 “instrumentation for impact test” or 100 hz 3rd order low pass butterworth 3db at 100 hz filter may be applied,f888 f888 test analysis when using acceleration data from dynamic test average deceleration must be calculated based on raw unfiltered data b if peaks above 40 g limit are present in data channel filter class cfc 60 100hz filter per sae recommended practice j211 “instrumentation for impact test” or 100 hz 3rd order low pass butterworth 3db at 100 hz filter may be applied
fuel system ic only fuel system location and protection are subject to approval during ses review and technical inspection,fuel system ic only fuel system location and protection are subject to approval during ses review and technical inspection
any portion of fuel system that is less than 350 mm above ground and all parts of fuel tank must be inside primary structure f110,any portion of fuel system that is less than 350 mm above ground and all parts of fuel tank must be inside primary structure f110
in side view any portion of fuel system must not project below lower surface of chassis,f912 f912 in side view any portion of fuel system must not project below lower surface of chassis
protection all fuel tanks must be shielded from side or rear impact,f92 f92 protection all fuel tanks must be shielded from side or rear impact
all accumulator containers must be designed to withstand forces from deceleration in all directions b made from nonflammable material f118,no applicable rule found
design of accumulator container must be documented in ses documentation includes materials used drawingsimages fastener locations cellsegment weight and cellsegment position,f1012 design of accumulator container must be documented in ses documentation includes materials used drawingsimages fastener locations cellsegment weight and cellsegment position
accumulator containers and mounting systems are subject to approval during ses review and technical inspection,f1013 accumulator containers and mounting systems are subject to approval during ses review and technical inspection
if accumulator container is not constructed from steel or aluminum material properties should be established at temperature of 60°c,f1014 if accumulator container is not constructed from steel or aluminum material properties should be established at temperature of 60°c
if adhesives are used for credited bonding bond performance should be established at temperature of 60°c,f1015 if adhesives are used for credited bonding bond performance should be established at temperature of 60°c
floor or bottom must be made from one of three steel 125 mm minimum thickness b aluminum 32 mm minimum thickness c equivalent alternate composite materials f41 f43,f1021 f1021 floor or bottom must be made from one of three steel 125 mm minimum thickness b aluminum 32 mm minimum thickness c equivalent alternate composite materials f41 f43
vertical walls covers and lids must be made from one of three steel 09 mm minimum thickness b aluminum 23 mm minimum thickness c equivalent alternate composite materials f41 f43,f1022 vertical walls covers and lids must be made from one of three steel 09 mm minimum thickness b aluminum 23 mm minimum thickness c equivalent alternate composite materials f41 f43
accepted methods of joining walls to walls and walls to floor are welding • welds may be continuous or interrupted • if interrupted weldspace ratio must be 11 or higher • all weld lengths must be more than 25 mm b fasteners combined strength of fasteners must be equivalent to strength of welded joint f1023a above c bonding • bonding must meet f55 • strength of bonded joint must be equivalent to strength of welded joint f1023a above • bonds must run entire length of joint,f1023 accepted methods of joining walls to walls and walls to floor are welding • welds may be continuous or interrupted • if interrupted weldspace ratio must be 11 or higher • all weld lengths must be more than 25 mm b fasteners combined strength of fasteners must be equivalent to strength of welded joint f1023a above c bonding • bonding must meet f55 • strength of bonded joint must be equivalent to strength of welded joint f1023a above • bonds must run entire length of joint
covers and lids must be attached with minimum of one fastener f1023b for each external vertical wall per section,f1024 f1024 covers and lids must be attached with minimum of one fastener f1023b for each external vertical wall per section
walls construction of internal walls vertical or horizontal separating cells andor segments must meet f1022 b internal vertical walls separating cells andor segments • must have minimum height of full height of accumulator segments • should extend to lid above any segment c fastened connections between floor and any vertical wall of each section must have minimum of two fasteners d removable horizontal interior walls must be fastened with minimum of one fastener for each external vertical wall per section folding or bending plate material to create flanges or to eliminate joints between walls is recommended,f1031 walls construction of internal walls vertical or horizontal separating cells andor segments must meet f1022 b internal vertical walls separating cells andor segments • must have minimum height of full height of accumulator segments • should extend to lid above any segment c fastened connections between floor and any vertical wall of each section must have minimum of two fasteners d removable horizontal interior walls must be fastened with minimum of one fastener for each external vertical wall per section folding or bending plate material to create flanges or to eliminate joints between walls is recommended
sections internal vertical walls divide accumulator container into “sections” b maximum of 12 kg is allowed in any section c fastened connections between vertical walls around sections containing 8kg or less must have minimum of two fasteners d fastened connections between vertical walls around sections containing between 8 kg and 12 kg must have minimum of three fasteners,f1032 sections internal vertical walls divide accumulator container into “sections” b maximum of 12 kg is allowed in any section c fastened connections between vertical walls around sections containing 8kg or less must have minimum of two fasteners d fastened connections between vertical walls around sections containing between 8 kg and 12 kg must have minimum of three fasteners
if segments are arranged vertically above other segments each layer of segments must have load path to chassis attachments that does not pass through another layer of segments,f1033 if segments are arranged vertically above other segments each layer of segments must have load path to chassis attachments that does not pass through another layer of segments
cells and segments cells andor segments must be appropriately secured against moving inside container b this mounting system design must withstand following accelerations 40 g in longitudinal direction forwardaft 40 g in lateral direction leftright 20 g in vertical direction updown c calculations andor tests proving these requirements are met must be included in ses d any fasteners must be 6 mm or 14” minimum diameter,f1034 cells and segments cells andor segments must be appropriately secured against moving inside container b this mounting system design must withstand following accelerations 40 g in longitudinal direction forwardaft 40 g in lateral direction leftright 20 g in vertical direction updown c calculations andor tests proving these requirements are met must be included in ses d any fasteners must be 6 mm or 14” minimum diameter
accumulator containers exterior or interior walls may contain holes or openings see ev434,f1041 f1041 accumulator containers exterior or interior walls may contain holes or openings see
any holes and openings must be minimum area necessary,f1042 any holes and openings must be minimum area necessary
exterior and interior walls must cover minimum of 75 of each face of battery segments,f1043 exterior and interior walls must cover minimum of 75 of each face of battery segments
holes and openings for airflow must be round slots are prohibited b should be maximum 10 mm diameter c must not have line of sight to driver with firewall installed or removed,f1044 holes and openings for airflow must be round slots are prohibited b should be maximum 10 mm diameter c must not have line of sight to driver with firewall installed or removed
attachment of accumulator container must be documented in ses,f1051 f1051 attachment of accumulator container must be documented in ses
accumulator containers must attach to major structure of chassis maximum of two attachment points may be on chassis tube between two triangulated nodes b not attach to shoulder harness mounting,f1052 f1052 accumulator containers must attach to major structure of chassis maximum of two attachment points may be on chassis tube between two triangulated nodes b not attach to shoulder harness mounting
any fasteners used to attach accumulator containers are critical fasteners see t82,f1053 any fasteners used to attach accumulator containers are critical fasteners see t82
each fastened attachment point to composite accumulator container requires backing plates that are one of two steel with thickness of 2 mm minimum b alternate materials equivalent to 2 mm thickness steel,f1054 each fastened attachment point to composite accumulator container requires backing plates that are one of two steel with thickness of 2 mm minimum b alternate materials equivalent to 2 mm thickness steel
teams must justify accumulator container attachment using one of two methods • corner attachments and analysis per f1056 and f1058 • load based analysis per f1057 and f1058,f1055 teams must justify accumulator container attachment using one of two methods • corner attachments and analysis per f1056 and f1058 • load based analysis per f1057 and f1058
accumulator attachment – corner attachments eight or more attachments are required for any configuration • one attachment for each corner of rectangular structure of multiple accumulator segments • more than minimum number of fasteners may be required for non rectangular arrangements examples if not filled in with additional structure extruded l shape would require attachments at 10 convex corners corners at inside of l are not convex extruded hexagon would require 12 attachments b mechanical connections at each corner must be 50 mm or less from corner of segment c each attachment point must be able to withstand test load equal to 14 of total mass of container accelerating at 40 g,f1056 f1056 accumulator attachment – corner attachments eight or more attachments are required for any configuration • one attachment for each corner of rectangular structure of multiple accumulator segments • more than minimum number of fasteners may be required for non rectangular arrangements examples if not filled in with additional structure extruded l shape would require attachments at 10 convex corners corners at inside of l are not convex extruded hexagon would require 12 attachments b mechanical connections at each corner must be 50 mm or less from corner of segment c each attachment point must be able to withstand test load equal to 14 of total mass of container accelerating at 40 g
accumulator attachment – all types every fastener must withstand test load in pure shear using minor diameter if any threads are in shear b every accumulator bracket chassis bracket or monocoque attachment point must withstand test load in bending in pure tearout pure pullout pure weld shear if welded and pure bond shear and pure bond tensile if bonded c monocoque attachment points must meet f788 d fasteners must be spaced minimum 50 mm apart to be counted as separate attachment points,f1058 f1058 accumulator attachment – all types every fastener must withstand test load in pure shear using minor diameter if any threads are in shear b every accumulator bracket chassis bracket or monocoque attachment point must withstand test load in bending in pure tearout pure pullout pure weld shear if welded and pure bond shear and pure bond tensile if bonded c monocoque attachment points must meet f788 d fasteners must be spaced minimum 50 mm apart to be counted as separate attachment points
tractive system ev only tractive system location and protection are subject to approval during ses review and technical inspection,f11 f11 tractive system ev only tractive system location and protection are subject to approval during ses review and technical inspection
all accumulator containers must lie inside primary structure f110,f1111 all accumulator containers must lie inside primary structure f110
when used outboard wheel motors and their connections must meet ev413,f1112 when used outboard wheel motors and their connections must meet ev413
tractive system ev11 components including cables and wiring other than those in f1112 above must be contained inside one or both of • rollover protection envelope f113 • structure meeting f516 component protection,no applicable rule found
side impact protection all accumulator containers must be protected from side impact by structure equivalent to side impact structure f64 f75 accumulator container must not be part of equivalent structure b accumulator container side impact protection must go to minimum height that is lower of two • height of upper side impact structure • top of accumulator container at that point c tractive system components other than accumulator containers in position below 350 mm from ground must be protected from side impact by structure that meets f516 component protection,f1121 f1121 side impact protection all accumulator containers must be protected from side impact by structure equivalent to side impact structure f64 f75 accumulator container must not be part of equivalent structure b accumulator container side impact protection must go to minimum height that is lower of two height of upper side impact structure top of accumulator container at that point c tractive system components other than accumulator containers in position below 350 mm from ground must be protected from side impact by structure that meets f516 component protection
rear impact protection all accumulator containers must be protected from rear impact • when rear impact structure is 100 mm or less from accumulator container structure must be equivalent to side impact structure f64 f75 • when rear impact structure is more than 100 mm from accumulator container structure must meet f516 component protection • accumulator container must not be part of equivalent structure b rear impact protection for accumulator container must • go to upper side impact height at minimum • have structural and triangulated load path from top of rear impact protection to upper side impact structure f64 f75 at main hoop • have structural and triangulated load path from bottom of rear impact protection to lower side impact structure f64 f75 at main hoop c other tractive system components in position below 350 mm from ground must be protected from rear impact by structure meeting f516 component protection d differential mounts or plate behind upper and lower rear impact tubes may be used as rear impact protection if used mounts or plate must be 25 mm or more larger at both top and bottom of upper and lower tubes,f1122 f1122 rear impact protection all accumulator containers must be protected from rear impact • when rear impact structure is 100 mm or less from accumulator container structure must be equivalent to side impact structure f64 f75 • when rear impact structure is more than 100 mm from accumulator container structure must meet f516 component protection • accumulator container must not be part of equivalent structure b rear impact protection for accumulator container must • go to upper side impact height at minimum formula sae® rules 2024 © 2023 sae international page 53 of 140 • have structural and triangulated load path from top of rear impact protection to upper side impact structure f64 f75 at main hoop • have structural and triangulated load path from bottom of rear impact protection to lower side impact structure f64 f75 at main hoop c other tractive system components in position below 350 mm from ground must be protected from rear impact by structure meeting f516 component protection d differential mounts or plate behind upper and lower rear impact tubes may be used as rear impact protection if used mounts or plate must be 25 mm or more larger at both top and bottom of upper and lower tubes
all non crushable items should have minimum 25 mm clearance to surface of accumulator container non crushable items include but are not limited to motors differentials and side or rear impact structure itself accumulator mounts do not require clearance,f1123 f1123 all non crushable items should have minimum 25 mm clearance to surface of accumulator container non crushable items include but are not limited to motors differentials and side or rear impact structure itself accumulator mounts do not require clearance
non crushable items mounted behind rear impact structure must not be able to come through rear impact structure,f1124 non crushable items mounted behind rear impact structure must not be able to come through rear impact structure
template shown below must pass through cockpit opening,no applicable rule found
template will be held horizontally parallel to ground and inserted vertically from height above any primary structure or bodywork that is between front hoop and main hoop until it meets both of refer to f64 and f751 has passed 25 mm below lowest point of top of side impact structure b is less than or equal to 320 mm above lowest point inside cockpit,template will be held horizontally parallel to ground and inserted vertically from height above any primary structure or bodywork that is between front hoop and main hoop until it meets both of refer to f64 and f751 has passed 25 mm below lowest point of top of side impact structure b is less than or equal to 320 mm above lowest point inside cockpit
fore and aft translation of template is permitted during insertion,t113 t113 fore and aft translation of template is permitted during insertion
during this test steering wheel steering column seat and all padding may be removed b shifter shift mechanism or clutch mechanism must not be removed unless it is integral with steering wheel and is removed with steering wheel c firewall must not be moved or removed d cables wires hoses tubes etc must not block movement of template during inspection steering column for practical purposes will not be removed template may be maneuvered around steering column but not any fixed supports for ease of use template may contain slot at front center that steering column may pass through mm 57 mm 004 mm 001 mm 053,t114 t114 during this test steering wheel steering column seat and all padding may be removed b shifter shift mechanism or clutch mechanism must not be removed unless it is integral with steering wheel and is removed with steering wheel c firewall must not be moved or removed d cables wires hoses tubes etc must not block movement of template during inspection steering column for practical purposes will not be removed template may be maneuvered around steering column but not any fixed supports for ease of use template may contain slot at front center that steering column may pass through
requirement cockpit must have free internal cross section b template shown below must pass through cockpit,t121 t121 requirement cockpit must have free internal cross section b template shown below must pass through cockpit template maximum thickness 7 mm
conduct of test template will be held vertically and inserted into cockpit opening rearward of rearmost portion of steering column b will then be passed horizontally through cockpit to point 100 mm rearwards of face of rearmost pedal when in inoperative position c may be moved vertically inside cockpit,t122 t122 conduct of test template will be held vertically and inserted into cockpit opening rearward of rearmost portion of steering column b will then be passed horizontally through cockpit to point 100 mm rearwards of face of rearmost pedal when in inoperative position c may be moved vertically inside cockpit
during this test if pedals are adjustable they must be in their most forward position b steering wheel may be removed c padding may be removed if it can be easily removed without use of tools with driver in seat d seat and any seat inserts that may be used must stay in cockpit e cables wires hoses tubes etc must not block movement of template f steering column and associated components may pass through 50 mm wide center band of template for ease of use template may contain full or partial slot in shaded area shown on figure,t123 t123 during this test if pedals are adjustable they must be in their most forward position b steering wheel may be removed c padding may be removed if it can be easily removed without use of tools with driver in seat d seat and any seat inserts that may be used must stay in cockpit e cables wires hoses tubes etc must not block movement of template f steering column and associated components may pass through 50 mm wide center band of template for ease of use template may contain full or partial slot in shaded area shown on figure
driver’s feet and legs must be completely contained inside major structure of chassis mm 05 mm 053,driver’s feet and legs must be completely contained inside major structure of chassis
while driver’s feet are touching pedals in side and front views any part of driver’s feet or legs must not extend above or outside of major structure of chassis,while driver’s feet are touching pedals in side and front views any part of driver’s feet or legs must not extend above or outside of major structure of chassis
all moving suspension and steering components and other sharp edges inside cockpit between front hoop and vertical plane 100 mm rearward of pedals must be covered by shield made of solid material moving components include but are not limited to springs shock absorbers rocker arms anti rollsway bars steering racks and steering column cv joints,t133 t133 all moving suspension and steering components and other sharp edges inside cockpit between front hoop and vertical plane 100 mm rearward of pedals must be covered by shield made of solid material moving components include but are not limited to springs shock absorbers rocker arms antirollsway bars steering racks and steering column cv joints
covers over suspension and steering components must be removable to allow inspection of mounting points,t134 t134 covers over suspension and steering components must be removable to allow inspection of mounting points
accelerator pedal accelerator pedal must control powertrain output b pedal travel is percent of travel from fully released position to fully applied position 0 is fully released and 100 is fully applied c accelerator pedal must • return to 0 pedal travel when not pushed • have positive stop to prevent any cable actuation system or sensor from damage or overstress,t141 t141 accelerator pedal accelerator pedal must control powertrain output b pedal travel is percent of travel from fully released position to fully applied position 0 is fully released and 100 is fully applied c accelerator pedal must • return to 0 pedal travel when not pushed • have positive stop to prevent any cable actuation system or sensor from damage or overstress
any mechanism in throttle system that could become jammed must be covered this is to prevent debris or interference and includes but is not limited to gear mechanism,any mechanism in throttle system that could become jammed must be covered this is to prevent debris or interference and includes but is not limited to gear mechanism
all vehicle controls steering gear change cockpit main switch cockpit shutdown button must be operated from inside cockpit without any part of driver including hands arms or elbows being outside of side impact structure defined in f64 f75 b two longitudinal vertical planes parallel to centerline of chassis touching uppermost member of side impact structure,t143 t143 all vehicle controls steering gear change cockpit main switch cockpit shutdown button must be operated from inside cockpit without any part of driver including hands arms or elbows being outside of side impact structure defined in f64 f75 b two longitudinal vertical planes parallel to centerline of chassis touching uppermost member of side impact structure
all vehicle controls must stay below topmost point of front hoop in any operational position,t144 t144 all vehicle controls must stay below topmost point of front hoop in any operational position
driver’s seat must be protected by one of following in side view lowest point of any driver’s seat must be no lower than upper surface of lowest structural tube or equivalent b longitudinal tube or tubes that meets requirements for side impact tubing f321e passing underneath lowest point of driver seat,t151 t151 driver’s seat must be protected by one of following in side view lowest point of any driver’s seat must be no lower than upper surface of lowest structural tube or equivalent b longitudinal tube or tubes that meets requirements for side impact tubing f321e passing underneath lowest point of driver seat
when seated in normal driving position sufficient heat insulation must be provided to ensure that driver will not contact any metal or other materials which may become heated to surface temperature above 60°c,t161 t161 when seated in normal driving position sufficient heat insulation must be provided to ensure that driver will not contact any metal or other materials which may become heated to surface temperature above 60°c
insulation may be external to cockpit or incorporated with driver’s seat or firewall,insulation may be external to cockpit or incorporated with driver’s seat or firewall
design must address all three types of heat transfer between heat source examples include but are not limited to exhaust pipe coolant hosetube accumulator container and panel that driver could contact seat or floor conduction isolation by one of following • no direct contact between heat source and panel • heat resistant conduction isolation material with minimum thickness of 8 mm between heat source and panel b convection isolation by minimum air gap of 25 mm between heat source and panel c radiation isolation by one of following • solid metal heat shield with minimum thickness of 04 mm • reflective foil or tape when combined with conduction insulation,t163 t163 design must address all three types of heat transfer between heat source examples include but are not limited to exhaust pipe coolant hosetube accumulator container and panel that driver could contact seat or floor conduction isolation by one of following • no direct contact between heat source and panel • heat resistant conduction isolation material with minimum thickness of 8 mm between heat source and panel b convection isolation by minimum air gap of 25 mm between heat source and panel c radiation isolation by one of following • solid metal heat shield with minimum thickness of 04 mm • reflective foil or tape when combined with conduction insulation
all vehicles must have floor closeout to prevent track debris from entering,all vehicles must have floor closeout to prevent track debris from entering
floor closeout must extend from foot area to firewall,floor closeout must extend from foot area to firewall
panels must be made of solid non brittle material,panels must be made of solid non brittle material
if multiple panels are used gaps between panels must not exceed 3 mm,t174 t174 if multiple panels are used gaps between panels must not exceed 3 mm
requirement firewalls must separate driver compartment and any portion of driver harness from all components of fuel system engine oil liquid cooling systems any lithium batteries b ev only all tractive system components other than outboard wheel motors ev413 where mounted at wheels or on front control arms,t181 t181 requirement firewalls must separate driver compartment and any portion of driver harness from all components of fuel system engine oil liquid cooling systems any lithium batteries b ev only all tractive system components other than outboard wheel motors ev413 where mounted at wheels or on front control arms
construction any firewall must be non permeable surface made from rigid nonflammable material b seal completely against passage of fluids firewall itself edges any pass throughs and floor closeout c be rigidly mounted,t182 t182 construction any firewall must be non permeable surface made from rigid nonflammable material b seal completely against passage of fluids firewall itself edges any pass throughs and floor closeout c be rigidly mounted
positioning firewall must extend sufficiently far upwards andor rearwards andor sideways where any point on drivers body less than 100 mm above bottom of helmet of tallest driver must not be in direct line of sight with any part given in t181 above,t183 t183 positioning firewall must extend sufficiently far upwards andor rearwards andor sideways where any point on drivers body less than 100 mm above bottom of helmet of tallest driver must not be in direct line of sight with any part given in t181 above
details firewalls composed of multiple panels must overlap and be sealed at joints sealing between firewalls must not be stressed part of firewall b grommets must be used to seal any pass through for wiring cables etc c any seals or adhesives used with firewall must be rated for application environment,t184 t184 details firewalls composed of multiple panels must overlap and be sealed at joints sealing between firewalls must not be stressed part of firewall b grommets must be used to seal any pass through for wiring cables etc formula sae® rules 2024 © 2023 sae international page 58 of 140 c any seals or adhesives used with firewall must be rated for application environment
ev only accumulator container must not be part of firewall,t185 ev only accumulator container must not be part of firewall
tractive system firewalls must meet requirements of t18 above,t191 t191 tractive system firewalls must meet requirements of t18 above
tractive system firewalls must be made of aluminum b grounded refer to ev67 grounding,t192 t192 tractive system firewalls must be made of aluminum b grounded refer to ev67 grounding
harness definitions 5 point harness – consists of two lap belts two shoulder belts and one antisubmarine belt b 6 point harness – consists of two lap belts two shoulder belts and two leg or anti submarine belts c 7 point harness – consists of two lap belts two shoulder belts two leg or anti submarine belts and negative g or z belt d upright driving position with seat back angled at 30° or less from vertical as measured along line joining two 200 mm circles of template of 95th percentile male as defined in f564 and positioned per f565 e reclined driving position with seat back angled at more than 30° from vertical as measured along line joining two 200 mm circles of template of 95th percentile male as defined in f564 and positioned per f565 f chest to groin line straight line that in side view follows line of shoulder belts from chest to release buckle,t21 t21 harness definitions 5 point harness – consists of two lap belts two shoulder belts and one antisubmarine belt b 6 point harness – consists of two lap belts two shoulder belts and two leg or antisubmarine belts c 7 point harness – consists of two lap belts two shoulder belts two leg or antisubmarine belts and negative g or z belt d upright driving position with seat back angled at 30° or less from vertical as measured along line joining two 200 mm circles of template of 95th percentile male as defined in f564 and positioned per f565 e reclined driving position with seat back angled at more than 30° from vertical as measured along line joining two 200 mm circles of template of 95th percentile male as defined in f564 and positioned per f565 f chest to groin line straight line that in side view follows line of shoulder belts from chest to release buckle
vehicle must use 5 6 or 7 point harness meeting one or more of following sfi specification 161 b sfi specification 165 c fia specification 88532016,t221 t221 vehicle must use 5 6 or 7 point harness meeting one or more of following sfi specification 161 b sfi specification 165 c fia specification 88532016
belts must have original manufacturers labels showing specification and expiration date,belts must have original manufacturers labels showing specification and expiration date
harness must be in or before year of expiration shown on labels harnesses expiring on or before dec 31 of calendar year of competition are permitted,t223 t223 harness must be in or before year of expiration shown on labels harnesses expiring on or before dec 31 of calendar year of competition are permitted
